prompt,tool
"Convert this text into a robotic voice",audio_gen
"Make this podcast audio sound clearer",audio_gen
"Transcribe a voice memo into text",audio_gen
"Clone my voice from this recording",audio_gen
"Generate a dialogue in British accent",audio_gen
"Create a voiceover for an ad script",audio_gen
"Change the pitch of this voice clip",audio_gen
"Mix background music with this narration",audio_gen
"Identify speakers in this multi-person recording",audio_gen
"Synthesize speech from text",audio_gen
"Add echo effect to audio",audio_gen
"Remove background noise from audio",audio_gen
"Generate sound effects for a game",audio_gen
"Translate spoken English to Spanish",audio_gen
"Create a jingle from text",audio_gen
"Adjust the tempo of a song",audio_gen
"Split audio into separate tracks",audio_gen
"Enhance vocal quality in a recording",audio_gen
"Generate an audiobook chapter",audio_gen
"Apply reverb to a voice",audio_gen
"Extract vocals from music",audio_gen
"Generate a voice for an animated character",audio_gen
"Convert speech to different emotions",audio_gen
"Produce a radio commercial",audio_gen
"Lower the bass in an audio track",audio_gen
"Merge multiple audio files",audio_gen
"Detect emotions in speech",audio_gen
"Create a personalized voice assistant voice",audio_gen
"Add a crowd cheering sound effect",audio_gen
"Generate a meditation voice guide",audio_gen
"Convert this text into a robotic voice",audio_gen
"Make this podcast audio sound clearer",audio_gen
"Transcribe a voice memo into text",audio_gen
"Clone my voice from this recording",audio_gen
"Generate a dialogue in British accent",audio_gen
"Create a voiceover for an ad script",audio_gen
"Change the pitch of this voice clip",audio_gen
"Mix background music with this narration",audio_gen
"Identify speakers in this multi-person recording",audio_gen
"Synthesize speech from text",audio_gen
"Add echo effect to audio",audio_gen
"Remove background noise from audio",audio_gen
"Generate sound effects for a game",audio_gen
"Translate spoken English to Spanish",audio_gen
"Create a jingle from text",audio_gen
"Adjust the tempo of a song",audio_gen
"Split audio into separate tracks",audio_gen
"Enhance vocal quality in a recording",audio_gen
"Generate an audiobook chapter",audio_gen
"Apply reverb to a voice",audio_gen
"Extract vocals from music",audio_gen
"Generate a voice for an animated character",audio_gen
"Convert speech to different emotions",audio_gen
"Produce a radio commercial",audio_gen
"Lower the bass in an audio track",audio_gen
"Merge multiple audio files",audio_gen
"Detect emotions in speech",audio_gen
"Create a personalized voice assistant voice",audio_gen
"Add a crowd cheering sound effect",audio_gen
"Generate a meditation voice guide",audio_gen
"Convert this text into a robotic voice",audio_gen
"Make this podcast audio sound clearer",audio_gen
"Transcribe a voice memo into text",audio_gen
"Clone my voice from this recording",audio_gen
"Generate a dialogue in British accent",audio_gen
"Create a voiceover for an ad script",audio_gen
"Change the pitch of this voice clip",audio_gen
"Mix background music with this narration",audio_gen
"Identify speakers in this multi-person recording",audio_gen
"Synthesize speech from text",audio_gen
"Add echo effect to audio",audio_gen
"Remove background noise from audio",audio_gen
"Generate sound effects for a game",audio_gen
"Translate spoken English to Spanish",audio_gen
"Create a jingle from text",audio_gen
"Adjust the tempo of a song",audio_gen
"Split audio into separate tracks",audio_gen
"Enhance vocal quality in a recording",audio_gen
"Generate an audiobook chapter",audio_gen
"Apply reverb to a voice",audio_gen
"Extract vocals from music",audio_gen
"Generate a voice for an animated character",audio_gen
"Convert speech to different emotions",audio_gen
"Produce a radio commercial",audio_gen
"Lower the bass in an audio track",audio_gen
"Merge multiple audio files",audio_gen
"Detect emotions in speech",audio_gen
"Create a personalized voice assistant voice",audio_gen
"Add a crowd cheering sound effect",audio_gen
"Generate a meditation voice guide",audio_gen
"Convert this text into a robotic voice",audio_gen
"Make this podcast audio sound clearer",audio_gen
"Transcribe a voice memo into text",audio_gen
"Clone my voice from this recording",audio_gen
"Generate a dialogue in British accent",audio_gen
"Create a voiceover for an ad script",audio_gen
"Change the pitch of this voice clip",audio_gen
"Mix background music with this narration",audio_gen
"Identify speakers in this multi-person recording",audio_gen
"Synthesize speech from text",audio_gen
"Add echo effect to audio",audio_gen
"Remove background noise from audio",audio_gen
"Generate sound effects for a game",audio_gen
"Translate spoken English to Spanish",audio_gen
"Create a jingle from text",audio_gen
"Adjust the tempo of a song",audio_gen
"Split audio into separate tracks",audio_gen
"Enhance vocal quality in a recording",audio_gen
"Generate an audiobook chapter",audio_gen
"Apply reverb to a voice",audio_gen
"Extract vocals from music",audio_gen
"Generate a voice for an animated character",audio_gen
"Convert speech to different emotions",audio_gen
"Produce a radio commercial",audio_gen
"Lower the bass in an audio track",audio_gen
"Merge multiple audio files",audio_gen
"Detect emotions in speech",audio_gen
"Create a personalized voice assistant voice",audio_gen
"Add a crowd cheering sound effect",audio_gen
"Generate a meditation voice guide",audio_gen
"Convert this text into a robotic voice",audio_gen
"Make this podcast audio sound clearer",audio_gen
"Transcribe a voice memo into text",audio_gen
"Clone my voice from this recording",audio_gen
"Generate a dialogue in British accent",audio_gen
"Create a voiceover for an ad script",audio_gen
