prompt,tool
"Write a comprehensive blog post on API gateway design patterns",language_llm
"Explain the differences between supervised and unsupervised learning",language_llm
"Summarize the key arguments in this policy document",language_llm
"Rewrite this sentence to sound more professional",language_llm
"Translate this paragraph from English to Arabic",language_llm
"Generate questions for a quiz on photosynthesis",language_llm
"Explain the meaning behind this short story",language_llm
"Convert this formal letter into casual tone",language_llm
"List the advantages of monolithic vs microservices architecture",language_llm
"Summarize customer feedback from this Excel sheet",language_llm
"Write a comprehensive blog post on API gateway design patterns",language_llm
"Explain the differences between supervised and unsupervised learning",language_llm
"Summarize the key arguments in this policy document",language_llm
"Rewrite this sentence to sound more professional",language_llm
"Translate this paragraph from English to Arabic",language_llm
"Generate questions for a quiz on photosynthesis",language_llm
"Explain the meaning behind this short story",language_llm
"Convert this formal letter into casual tone",language_llm
"List the advantages of monolithic vs microservices architecture",language_llm
"Summarize customer feedback from this Excel sheet",language_llm
"Compare and contrast SQL and NoSQL databases",language_llm
"Draft a proposal for a new marketing campaign",language_llm
"Describe the process of cellular respiration",language_llm
"Create a short story about a time-traveling detective",language_llm
"Explain the concept of quantum entanglement",language_llm
"Write a persuasive essay on the benefits of renewable energy",language_llm
"Summarize the history of the internet",language_llm
"Generate ideas for a new mobile application",language_llm
"Analyze the themes in Shakespeare's Hamlet",language_llm
"Formulate a business plan for a startup",language_llm
"Detail the steps involved in software development lifecycle",language_llm
"Compose a poem about the beauty of nature",language_llm
"Explain the principles of object-oriented programming",language_llm
"Design a workout plan for beginners",language_llm
"Summarize a research paper on climate change",language_llm
"Write a script for a short educational video",language_llm
"Explain the basics of financial accounting",language_llm
"Create a compelling cover letter for a job application",language_llm
"Analyze the impact of social media on society",language_llm
"Outline the major events of World War II",language_llm
"Describe the different types of cloud computing services",language_llm
"Write a review of a newly released movie",language_llm
"Explain the concept of supply and demand in economics",language_llm
"Generate trivia questions about world geography",language_llm
"Summarize a book on personal finance",language_llm
"Rewrite this technical document for a non-technical audience",language_llm
"Translate a recipe from French to English",language_llm
"Develop a script for a podcast episode",language_llm
"Explain the function of DNA in living organisms",language_llm
"Create a detailed travel itinerary for a trip to Japan",language_llm
"Analyze the effectiveness of different leadership styles",language_llm
"Summarize a news article on recent technological advancements",language_llm
"Write a short play about artificial intelligence",language_llm
"Explain the theory of relativity in simple terms",language_llm
"Design a healthy meal plan for a week",language_llm
"Summarize the plot of Moby Dick",language_llm
"Generate essay prompts on historical events",language_llm
"Explain the concept of blockchain technology",language_llm
"Create a marketing slogan for a new product",language_llm
"Analyze the pros and cons of remote work",language_llm
"Outline the steps for effective public speaking",language_llm
"Describe the different types of cyber threats",language_llm
"Write a persuasive speech about environmental conservation",language_llm
"Explain the basics of digital marketing",language_llm
"Generate questions for a debate on ethical AI",language_llm
"Summarize the key findings of a scientific study",language_llm
"Rewrite this press release to be more engaging",language_llm
"Translate a business proposal from German to English",language_llm
"Develop a character profile for a novel",language_llm
"Explain the concept of user experience (UX) design",language_llm
"Create a training manual for new employees",language_llm
"Analyze the economic impact of a major event",language_llm
"Summarize a Wikipedia page on a historical figure",language_llm
"Write a blog post about healthy habits",language_llm
"Explain the concept of Big Data",language_llm
"Design a logo for a fictional company",language_llm
"Summarize the events leading up to the American Revolution",language_llm
"Generate multiple-choice questions on human anatomy",language_llm
