prompt,tool
"Visualize user engagement by week",analytics
"Run correlation analysis on sales data",analytics
"Clean messy customer CSV and normalize it",analytics
"Create a bar chart of revenue by region",analytics
"Build a dashboard with product KPIs",analytics
"Predict future sales using regression",analytics
"Find anomalies in this purchase data",analytics
"Cluster customers based on behavior",analytics
"Generate summary stats for this dataset",analytics
"Segment website visitors by traffic source",analytics
"Perform A/B test analysis on new feature",analytics
"Identify top-performing marketing campaigns",analytics
"Calculate customer lifetime value (CLTV)",analytics
"Optimize pricing strategy using historical data",analytics
"Analyze website conversion funnels",analytics
"Develop a churn prediction model",analytics
"Compare product performance across categories",analytics
"Forecast inventory needs for next quarter",analytics
"Map customer journeys and touchpoints",analytics
"Assess impact of promotions on sales",analytics
"Determine optimal staffing levels for support",analytics
"Evaluate effectiveness of email marketing",analytics
"Design a report on marketing ROI",analytics
"Identify key drivers of customer satisfaction",analytics
"Analyze social media sentiment about brand",analytics
"Create a pivot table of sales by product and month",analytics
"Conduct market basket analysis",analytics
"Segment product defects by type and severity",analytics
"Build a recommendation engine for users",analytics
"Analyze server logs for performance issues",analytics
"Visualize network traffic patterns",analytics
"Identify bottlenecks in manufacturing process",analytics
"Model customer wait times in call center",analytics
"Evaluate supplier performance metrics",analytics
"Predict equipment failure using sensor data",analytics
"Optimize delivery routes for logistics",analytics
"Analyze website bounce rate by landing page",analytics
"Track key metrics for content engagement",analytics
"Perform cohort analysis on user retention",analytics
"Segment market based on demographic data",analytics
"Analyze impact of pricing changes on demand",analytics
"Create a heat map of website clicks",analytics
"Build a dashboard for HR key performance indicators",analytics
"Predict employee turnover risk",analytics
"Analyze training program effectiveness",analytics
"Identify skill gaps in workforce",analytics
"Model compensation fairness across departments",analytics
"Forecast hiring needs for next year",analytics
"Evaluate impact of benefits on employee satisfaction",analytics
"Visualize employee performance reviews",analytics
"Analyze recruitment funnel metrics",analytics
"Develop a diversity and inclusion dashboard",analytics
"Create a geographic sales performance map",analytics
"Analyze sales by sales representative",analytics
"Identify cross-selling opportunities",analytics
"Track lead conversion rates by source",analytics
"Predict lead scoring for sales team",analytics
"Optimize sales territory assignments",analytics
"Analyze sales cycle length by product",analytics
"Build a sales forecasting dashboard",analytics
"Determine impact of sales training on performance",analytics
"Visualize pipeline stages and conversion",analytics
"Analyze customer support ticket trends",analytics
"Identify common customer issues",analytics
"Predict customer support volume",analytics
"Optimize call center agent scheduling",analytics
"Evaluate first call resolution rates",analytics
"Analyze customer feedback themes",analytics
"Build a dashboard for support team performance",analytics
"Determine impact of self-service options",analytics
"Visualize agent productivity metrics",analytics
"Analyze resolution times by issue type",analytics
"Create a scatter plot of ad spend vs. conversions",analytics
"Analyze website traffic by device type",analytics
"Identify popular content on blog",analytics
"Track email open rates and click-through rates",analytics
"Measure return on ad spend (ROAS)",analytics
"Segment marketing leads by engagement level",analytics
"Build a marketing campaign performance dashboard",analytics
"Predict conversion rates for landing pages",analytics
"Analyze social media engagement metrics",analytics
"Determine optimal posting times for social media",analytics
"Visualize keyword search volume trends",analytics
"Analyze competitor website traffic",analytics
"Identify backlink opportunities for SEO",analytics
"Track organic search ranking changes",analytics
"Predict website traffic from SEO efforts",analytics
"Optimize website loading speed impact on bounce rate",analytics
"Analyze user flow through mobile app",analytics
"Identify frequently used app features",analytics
"Track app uninstallation rates",analytics
"Predict app user churn",analytics
"Optimize app onboarding process",analytics
"Analyze app store review sentiment",analytics
"Build a dashboard for mobile app KPIs",analytics
"Determine impact of push notifications",analytics
"Visualize app crash reports",analytics
