prompt,tool
"Generate an oil painting of a sunset on Mars",image_gen
"Create a minimalistic icon for a finance app",image_gen
"Design a logo for a coffee brand",image_gen
"Turn this selfie into a Pixar-style illustration",image_gen
"Draw an anime character holding a sword",image_gen
"Produce a futuristic city skyline at night",image_gen
"Remove background from this portrait",image_gen
"Add surreal elements to this forest photo",image_gen
"Make this landscape look like Van Gogh style",image_gen
"Generate a banner image for a marketing site",image_gen
"Generate a watercolor painting of a bustling market street",image_gen
"Create a retro-futuristic advertisement poster",image_gen
"Design a mascot for a sports team (a fierce dragon)",image_gen
"Convert this photo of a cat into a cartoon drawing",image_gen
"Illustrate a manga panel of a superhero flying",image_gen
"Generate an ancient Roman city at dusk",image_gen
"Change the background of this product shot to a studio setting",image_gen
"Add magical glow to this wizard's staff",image_gen
"Transform this photo into a pop art masterpiece",image_gen
"Create a header image for a technology blog",image_gen
"Generate a charcoal sketch of an old lighthouse",image_gen
"Create a sleek UI element for a meditation app",image_gen
"Design a book cover for a sci-fi novel",image_gen
"Turn this group photo into a superhero comic style",image_gen
"Draw a fantasy creature (griffin) in flight",image_gen
"Produce a serene Japanese garden in autumn",image_gen
"Isolate the subject in this fashion photograph",image_gen
"Add ethereal mist to this mountain landscape",image_gen
"Apply an impressionistic filter to this city street scene",image_gen
"Generate a social media graphic for an event",image_gen
"Generate an abstract painting with vibrant colors",image_gen
"Create a flat design icon for a travel app",image_gen
"Design an emblem for a historical society",image_gen
"Convert this pet photo into a whimsical illustration",image_gen
"Illustrate a chibi character cooking ramen",image_gen
"Generate a post-apocalyptic wasteland at sunrise",image_gen
"Remove distracting elements from this architectural photo",image_gen
"Add bioluminescent plants to this cave interior",image_gen
"Make this still life look like a cubist painting",image_gen
"Create an infographic illustration about climate change",image_gen
"Generate a stained glass window depicting a forest scene",image_gen
"Create a detailed icon for a weather app",image_gen
"Design packaging for organic tea",image_gen
"Turn this portrait into a vintage propaganda poster",image_gen
"Draw a superhero landing pose",image_gen
"Produce a vibrant coral reef underwater",image_gen
"Replace the sky in this landscape photo with a starry night",image_gen
"Add playful doodles to this plain background",image_gen
"Make this cityscape look like a cyberpunk concept art",image_gen
"Generate an email newsletter header for a fashion brand",image_gen
"Generate an oil pastel drawing of a tranquil lake",image_gen
"Create a minimalist logo for a bakery",image_gen
"Design a stamp featuring a national monument",image_gen
"Convert this selfie into a comic book splash page",image_gen
