prompt,tool
"Generate a 3D model of a modern minimalist desk",gen_3d
"Turn this architectural blueprint into a 3D building",gen_3d
"Build a rigged human character from a textual description",gen_3d
"Produce game-ready high-poly environment assets",gen_3d
"Convert this medical scan data for 3D printing",gen_3d
"Animate a character walking cycle in 3D",gen_3d
"Enhance this 3D model with realistic textures",gen_3d
"Generate a 3D avatar from video footage",gen_3d
"Reconstruct a historical artifact in 3D from scans",gen_3d
"Generate a 3D model of a vintage car",gen_3d
"Turn this abstract drawing into a 3D sculpture",gen_3d
"Build a rigged creature mesh for animation",gen_3d
"Produce game-ready modular assets",gen_3d
"Convert this point cloud data into a solid 3D model",gen_3d
"Animate a logo reveal in 3D",gen_3d
"Enhance this 3D model with advanced lighting",gen_3d
"Generate a 3D avatar from a voice recording",gen_3d
"Reconstruct an outdoor scene in 3D from drone footage",gen_3d
"Generate a 3D model of a spaceship",gen_3d
"Turn this technical diagram into a 3D assembly",gen_3d
"Build a rigged vehicle model for simulation",gen_3d
"Produce game-ready character clothing",gen_3d
"Convert this engineering drawing into a 3D prototype",gen_3d
"Animate a product demonstration in 3D",gen_3d
"Enhance this 3D model for augmented reality",gen_3d
"Generate a 3D avatar from multiple photos",gen_3d
"Reconstruct an interior space in 3D from floor plans",gen_3d
"Generate a 3D model of a plant",gen_3d
"Turn this cartoon sketch into a 3D character",gen_3d
"Build a rigged robot model for industrial design",gen_3d
"Produce game-ready weapon models",gen_3d
"Convert this architectural render for interactive walkthroughs",gen_3d
"Animate a fluid simulation in 3D",gen_3d
"Enhance this 3D model for virtual production",gen_3d
"Generate a 3D avatar from a single selfie",gen_3d
"Reconstruct a small object in 3D from a few images",gen_3d
"Generate a 3D model of a complex machine part",gen_3d
"Turn this concept art into a 3D creature",gen_3d
"Build a rigged animal model for animation",gen_3d
"Produce game-ready foliage and vegetation",gen_3d
"Convert this architectural model for real-time rendering",gen_3d
"Animate a mechanical assembly in 3D",gen_3d
"Enhance this 3D model for photorealistic rendering",gen_3d
"Generate a 3D avatar from a full-body scan",gen_3d
"Reconstruct an archaeological site in 3D from lidar data",gen_3d
"Generate a 3D model of a piece of furniture",gen_3d
"Turn this children's drawing into a 3D toy",gen_3d
"Build a rigged monster mesh for a game",gen_3d
"Produce game-ready vehicles",gen_3d
"Convert this product design into a 3D printable file",gen_3d
"Animate a camera flythrough in 3D",gen_3d
"Enhance this 3D model with displacement maps",gen_3d
"Generate a 3D avatar from a passport photo",gen_3d
"Reconstruct a geological formation in 3D from survey data",gen_3d
"Generate a 3D model of a natural landscape feature",gen_3d
"Turn this storyboard into a 3D animated scene",gen_3d
"Build a rigged cartoon character",gen_3d
"Produce game-ready buildings and structures",gen_3d
"Convert this scientific data into a 3D visualization",gen_3d
"Animate a particle system in 3D",gen_3d
"Enhance this 3D model with subsurface scattering",gen_3d
"Generate a 3D avatar from an existing 2D image",gen_3d
"Reconstruct a damaged object in 3D for restoration",gen_3d
"Generate a 3D model of a musical instrument",gen_3d
"Turn this blueprint for a device into a 3D model",gen_3d
"Build a rigged fantasy creature",gen_3d
"Produce game-ready user interface elements in 3D",gen_3d
"Convert this historical map into a 3D terrain",gen_3d
"Animate a destruction sequence in 3D",gen_3d
"Enhance this 3D model for cinematic quality",gen_3d
"Generate a 3D avatar from a profile picture",gen_3d
"Reconstruct a complex machine in 3D from diagrams",gen_3d
"Generate a 3D model of a food item",gen_3d
"Turn this abstract pattern into a 3D texture",gen_3d
"Build a rigged non-human character",gen_3d
"Produce game-ready collectibles",gen_3d
"Convert this fashion design sketch into a 3D garment",gen_3d
"Animate a product assembly in 3D",gen_3d
"Enhance this 3D model with volumetric effects",gen_3d
"Generate a 3D avatar from a video call screenshot",gen_3d
"Reconstruct a human skeleton in 3D from X-rays",gen_3d
"Generate a 3D model of a simple geometric shape",gen_3d
"Turn this simple doodle into a 3D object",gen_3d
"Build a rigged stylized character",gen_3d
"Produce game-ready environmental storytelling props",gen_3d
"Convert this anatomical drawing into a 3D organ model",gen_3d
"Animate a water ripple effect in 3D",gen_3d
"Enhance this 3D model with PBR materials",gen_3d
"Generate a 3D avatar from a series of casual photos",gen_3d
"Reconstruct a facial expression in 3D from an image",gen_3d
"Generate a 3D model of a household appliance",gen_3d
"Turn this scientific illustration into a 3D representation",gen_3d
"Build a rigged creature with multiple limbs",gen_3d
"Produce game-ready environmental obstacles",gen_3d
"Convert this urban planning map into a 3D city model",gen_3d
"Animate a transformation in 3D",gen_3d
"Enhance this 3D model for mobile game optimization",gen_3d
"Generate a 3D avatar from a police sketch",gen_3d
"Reconstruct a plant's growth in 3D over time",gen_3d
"Generate a 3D model of a sports equipment",gen_3d
"Turn this abstract concept into a 3D visualization",gen_3d
"Build a rigged bipedal creature",gen_3d
"Produce game-ready interactable objects",gen_3d
"Convert this geological cross-section into a 3D model",gen_3d
"Animate a morphing object in 3D",gen_3d
"Enhance this 3D model for virtual reality experiences",gen_3d
"Generate a 3D avatar from a single blurry photo",gen_3d
"Reconstruct a historical building in 3D from archival photos",gen_3d
"Generate a 3D model of a complex electronic component",gen_3d
"Turn this character design sheet into a 3D model",gen_3d
"Build a rigged quadruped animal",gen_3d
"Produce game-ready destructible objects",gen_3d
"Convert this CAD assembly into a single 3D model for rendering",gen_3d
"Animate a character performing an action in 3D",gen_3d
"Enhance this 3D model for architectural visualization",gen_3d
"Generate a 3D avatar from a hand-drawn sketch of a face",gen_3d
"Reconstruct a small town in 3D from aerial imagery",gen_3d
"Generate a 3D model of a common tool",gen_3d
"Turn this landscape painting into a 3D environment",gen_3d
"Build a rigged insect model",gen_3d
"Produce game-ready props for interior scenes",gen_3d
"Convert this medical imaging data into a 3D printable heart",gen_3d
"Animate a natural phenomenon (e.g., wind, rain) in 3D",gen_3d
"Enhance this 3D model for product configurators",gen_3d
"Generate a 3D avatar from a silhouette",gen_3d
"Reconstruct a specific room in 3D from a video walkthrough",gen_3d
"Generate a 3D model of a custom piece of jewelry",gen_3d
"Turn this children's book illustration into a 3D scene",gen_3d
"Build a rigged mythical creature",gen_3d
"Produce game-ready assets for a sci-fi setting",gen_3d
"Convert this historical document into a 3D interactive exhibit",gen_3d
"Animate a cloth simulation in 3D",gen_3d
"Enhance this 3D model for web-based 3D viewers",gen_3d
"Generate a 3D avatar from a low-resolution image",gen_3d
"Reconstruct a vehicle in 3D from multiple angles of photos",gen_3d
"Generate a 3D model of a container",gen_3d
"Turn this technical schematic into a 3D functioning model",gen_3d
"Build a rigged alien creature",gen_3d
"Produce game-ready assets for a fantasy setting",gen_3d
"Convert this archaeological artifact scan into a 3D model for study",gen_3d
"Animate a fire effect in 3D",gen_3d
"Enhance this 3D model for character animation pipelines",gen_3d
"Generate a 3D avatar from a blurry selfie",gen_3d
"Reconstruct an animal in 3D from its skeleton and reference images",gen_3d
"Generate a 3D model of a simple building",gen_3d
"Turn this abstract painting into a 3D rendered scene",gen_3d
"Build a rigged quadruped character",gen_3d
"Produce game-ready assets for a modern city",gen_3d
"Convert this molecular structure into a 3D visualization",gen_3d
"Animate a liquid pouring in 3D",gen_3d
"Enhance this 3D model for architectural walkthroughs",gen_3d
"Generate a 3D avatar from a cartoon drawing",gen_3d
"Reconstruct a historical battle scene in 3D from descriptions",gen_3d
"Generate a 3D model of a bridge",gen_3d
"Turn this character concept into a 3D model for a game",gen_3d
"Build a rigged humanoid robot",gen_3d
"Produce game-ready assets for a futuristic setting",gen_3d
"Convert this topographical map into a 3D landscape",gen_3d
"Animate a smoke effect in 3D",gen_3d
"Enhance this 3D model for product visualization",gen_3d
"Generate a 3D avatar from a pixelated image",gen_3d
"Reconstruct a specific type of furniture in 3D from various photos",gen_3d
"Generate a 3D model of a tree",gen_3d
"Turn this abstract artwork into a 3D printable object",gen_3d
"Build a rigged avian creature",gen_3d
"Produce game-ready assets for an urban environment",gen_3d
"Convert this scientific diagram of a cell into a 3D model",gen_3d
"Animate a chain reaction in 3D",gen_3d
"Enhance this 3D model for simulation purposes",gen_3d
"Generate a 3D avatar from a sketch of a full body",gen_3d
"Reconstruct a historical object in 3D from incomplete data",gen_3d
"Generate a 3D model of a specialized tool",gen_3d
"Turn this comic book character into a 3D model",gen_3d
"Build a rigged aquatic creature",gen_3d
"Produce game-ready assets for a natural environment",gen_3d
"Convert this building plan into a 3D model for virtual tours",gen_3d
"Animate a growing plant in 3D",gen_3d
"Enhance this 3D model for educational content",gen_3d
"Generate a 3D avatar from a very low-resolution image",gen_3d
"Reconstruct a specific type of plant in 3D from images",gen_3d
"Generate a 3D model of a body part for medical study",gen_3d
"Turn this a child's drawing of a house into a 3D model",gen_3d
"Build a rigged creature with wings",gen_3d
"Produce game-ready assets for a post-apocalyptic setting",gen_3d
"Convert this scanned object into a clean, optimized 3D model",gen_3d
"Animate a crowd simulation in 3D",gen_3d
"Enhance this 3D model for display in museums",gen_3d
"Generate a 3D avatar from a very old photograph",gen_3d
"Reconstruct a small, intricate object in 3D from limited views",gen_3d
